Name,Team,Position,ETR Rank,ADP,ADP Differential
Christian McCaffrey,SF,RB,1,1.2,0.2
CeeDee Lamb,DAL,WR,2,2.1,0.1
Tyreek Hill,MIA,WR,3,3.2,0.2
Ja'Marr Chase,CIN,WR,4,4.3,0.3
Amon-Ra St. Brown,DET,WR,5,5.1,0.1
Justin Jefferson,MIN,WR,6,6.1,0.1
Puka Nacua,LAR,WR,7,9.2,2.2
Bijan Robinson,ATL,RB,8,8.4,0.4
A.J. Brown,PHI,WR,9,10.3,1.3
Breece Hall,NYJ,RB,10,7.2,-2.8
Drake London,ATL,WR,11,15.5,4.5
Garrett Wilson,NYJ,WR,12,11.3,-0.7
Jahmyr Gibbs,DET,RB,13,11.8,-1.2
Marvin Harrison Jr.,ARI,WR,14,13.8,-0.2
Chris Olave,NO,WR,15,18.4,3.4
Devonta Smith,PHI,WR,16,30.8,14.8
Davante Adams,LV,WR,17,18.1,1.1
Malik Nabers,NYG,WR,18,35.3,17.3
Nico Collins,HOU,WR,19,20.7,1.7
D.J. Moore,CHI,WR,20,30.6,10.6
Mike Evans,TB,WR,21,24.4,3.4
Brandon Aiyuk,SF,WR,22,20.5,-1.5
Jaylen Waddle,MIA,WR,23,31.8,8.8
Michael Pittman,IND,WR,24,33.2,9.2
Saquon Barkley,PHI,RB,25,14.9,-10.1
DK Metcalf,SEA,WR,26,38.5,12.5
Deebo Samuel,SF,WR,27,27.5,0.5
Stefon Diggs,HOU,WR,28,28.3,0.3
Travis Kelce,KC,TE,29,23.9,-5.1
De'Von Achane,MIA,RB,30,23.5,-6.5
Jonathan Taylor,IND,RB,31,16.1,-14.9
Cooper Kupp,LAR,WR,32,29.7,-2.3
Jalen Hurts,PHI,QB,33,38,5
Christian Kirk,JAX,WR,34,53.2,19.2
Kyren Williams,LAR,RB,35,23.4,-11.6
Tee Higgins,CIN,WR,36,48.1,12.1
Tank Dell,HOU,WR,37,43.5,6.5
Josh Jacobs,GB,RB,38,42.5,4.5
Sam LaPorta,DET,TE,39,26.3,-12.7
Travis Etienne,JAX,RB,40,35.7,-4.3
Josh Allen,BUF,QB,41,33.4,-7.6
Isiah Pacheco,KC,RB,42,41,-1
Zay Flowers,BAL,WR,43,39.1,-3.9
Rachaad White,TB,RB,44,51.6,7.6
Lamar Jackson,BAL,QB,45,41,-4
Trey McBride,ARI,TE,46,45.3,-0.7
Chris Godwin,TB,WR,47,70,23
Keenan Allen,CHI,WR,48,56.1,8.1
James Cook,BUF,RB,49,50.8,1.8
Mark Andrews,BAL,TE,50,52.4,2.4
Kyle Pitts,ATL,TE,51,59.4,8.4
Dalton Kincaid,BUF,TE,52,49.2,-2.8
Amari Cooper,CLE,WR,53,48.8,-4.2
Patrick Mahomes,KC,QB,54,43.1,-10.9
Marquise Brown,KC,WR,55,57,2
Joe Mixon,HOU,RB,56,54.2,-1.8
Rome Odunze,CHI,WR,57,78.3,21.3
Derrick Henry,BAL,RB,58,25,-33
Kenneth Walker,SEA,RB,59,62.7,3.7
Anthony Richardson,IND,QB,60,57.8,-2.2
Evan Engram,JAX,TE,61,75.1,14.1
Alvin Kamara,NO,RB,62,60.8,-1.2
DeAndre Hopkins,TEN,WR,63,82.9,19.9
Brian Thomas,JAX,WR,64,83.9,19.9
Xavier Worthy,KC,WR,65,65.8,0.8
Terry McLaurin,WAS,WR,66,60.6,-5.4
Jaxon Smith-Njigba,SEA,WR,67,94.7,27.7
George Pickens,PIT,WR,68,51,-17
Diontae Johnson,CAR,WR,69,86.4,17.4
Jayden Reed,GB,WR,70,63.3,-6.7
C.J. Stroud,HOU,QB,71,47.1,-23.9
George Kittle,SF,TE,72,69.4,-2.6
Jordan Addison,MIN,WR,73,77.6,4.6
D'Andre Swift,CHI,RB,74,77.3,3.3
Rhamondre Stevenson,NE,RB,75,81.3,6.3
David Montgomery,DET,RB,76,70.1,-5.9
Dak Prescott,DAL,QB,77,79.5,2.5
Joe Burrow,CIN,QB,78,73.7,-4.3
Najee Harris,PIT,RB,79,91.2,12.2
Jake Ferguson,DAL,TE,80,84.5,4.5
Jaylen Warren,PIT,RB,81,95.3,14.3
Ladd McConkey,LAC,WR,82,72.7,-9.3
Tyler Lockett,SEA,WR,83,115.8,32.8
Keon Coleman,BUF,WR,84,68.1,-15.9
Christian Watson,GB,WR,85,87.4,2.4
Kyler Murray,ARI,QB,86,78.8,-7.2
Calvin Ridley,TEN,WR,87,67.1,-19.9
Aaron Jones,MIN,RB,88,65.6,-22.4
Josh Palmer,LAC,WR,89,131.5,42.5
Dallas Goedert,PHI,TE,90,107.6,17.6
Jameson Williams,DET,WR,91,92.2,1.2
Zamir White,LV,RB,92,74.3,-17.7
Javonte Williams,DEN,RB,93,107,14
Zack Moss,CIN,RB,94,88.6,-5.4
Rashee Rice,KC,WR,95,85.9,-9.1
Jordan Love,GB,QB,96,83.4,-12.6
David Njoku,CLE,TE,97,90.2,-6.8
Caleb Williams,CHI,QB,98,98.8,0.8
Trevor Lawrence,JAX,QB,99,117.2,18.2
Tony Pollard,TEN,RB,100,95.2,-4.8
Devin Singletary,NYG,RB,101,113.4,12.4
Courtland Sutton,DEN,WR,102,112.3,10.3
Brock Bowers,LV,TE,103,100.7,-2.3
Curtis Samuel,BUF,WR,104,106.5,2.5
Jonathon Brooks,CAR,RB,105,98.8,-6.2
Jayden Daniels,WAS,QB,106,106.1,0.1
Jakobi Meyers,LV,WR,107,124.9,17.9
Mike Williams,NYJ,WR,108,110.3,2.3
Brock Purdy,SF,QB,109,97.6,-11.4
Chase Brown,CIN,RB,110,124.6,14.6
Raheem Mostert,MIA,RB,111,87.1,-23.9
Tua Tagovailoa,MIA,QB,112,110.9,-1.1
Trey Benson,ARI,RB,113,109.4,-3.6
Gabe Davis,JAX,WR,114,141.6,27.6
Tyjae Spears,TEN,RB,115,120.2,5.2
Gus Edwards,LAC,RB,116,115.5,-0.5
James Conner,ARI,RB,117,83.7,-33.3
Kirk Cousins,ATL,QB,118,130.4,12.4
Rashid Shaheed,NO,WR,119,120,1
Jerry Jeudy,CLE,WR,120,133.8,13.8
Brian Robinson,WAS,RB,121,118.3,-2.7
Josh Downs,IND,WR,122,143.4,21.4
Romeo Doubs,GB,WR,123,108.6,-14.4
Austin Ekeler,WAS,RB,124,101.3,-22.7
Jared Goff,DET,QB,125,103.5,-21.5
Khalil Shakir,BUF,WR,126,111.5,-14.5
Rico Dowdle,DAL,RB,127,137.8,10.8
Brandin Cooks,DAL,WR,128,126.2,-1.8
Justin Herbert,LAC,QB,129,122.3,-6.7
Dontayvion Wicks,GB,WR,130,139.2,9.2
Ezekiel Elliott,DAL,RB,131,128.6,-2.4
Blake Corum,LAR,RB,132,122.8,-9.2
Jerome Ford,CLE,RB,133,132.9,-0.1
Adam Thielen,CAR,WR,134,150,16
Deshaun Watson,CLE,QB,135,154.1,19.1
Jahan Dotson,WAS,WR,136,138.2,2.2
Zach Charbonnet,SEA,RB,137,141,4
Aaron Rodgers,NYJ,QB,138,139.5,1.5
Matthew Stafford,LAR,QB,139,136.3,-2.7
Baker Mayfield,TB,QB,140,146.4,6.4
Cole Kmet,CHI,TE,141,132.9,-8.1
Dalton Schultz,HOU,TE,142,119.2,-22.8
Antonio Gibson,NE,RB,143,164.8,21.8
Nick Chubb,CLE,RB,144,104.2,-39.8
Darnell Mooney,ATL,WR,145,148.7,3.7
Geno Smith,SEA,QB,146,162.1,16.1
Malachi Corley,NYJ,WR,147,173.2,26.2
Wan'Dale Robinson,NYG,WR,148,173.6,25.6
Ty Chandler,MIN,RB,149,156,7
Ja'Lynn Polk,NE,WR,150,160.2,10.2
Pat Freiermuth,PIT,TE,151,141.5,-9.5
J.J. McCarthy,MIN,QB,152,172.1,20.1
Marshawn Lloyd,GB,RB,153,154.7,1.7
Xavier Legette,CAR,WR,154,145,-9
Derek Carr,NO,QB,155,177.9,22.9
Kendre Miller,NO,RB,156,149.7,-6.3
Khalil Herbert,CHI,RB,157,186.4,29.4
Juwan Johnson,NO,TE,158,179.3,21.3
Isaiah Likely,BAL,TE,159,176,17
Adonai Mitchell,IND,WR,160,126.9,-33.1
Roman Wilson,PIT,WR,161,169.7,8.7
Jermaine Burton,CIN,WR,162,162.1,0.1
Tyler Allgeier,ATL,RB,163,166.5,3.5
T.J. Hockenson,MIN,TE,164,123.7,-40.3
Ricky Pearsall,SF,WR,165,162.6,-2.4
Rashod Bateman,BAL,WR,166,182.2,16.2
Quentin Johnston,LAC,WR,167,143.8,-23.2
Noah Fant,SEA,TE,168,204.9,36.9
Luke Musgrave,GB,TE,169,153,-16
Hunter Henry,NE,TE,170,171.6,1.6
Jaylen Wright,MIA,RB,171,150,-21
Michael Wilson,ARI,WR,172,179.8,7.8
Ray Davis,BUF,RB,173,159.1,-13.9
Chigoziem Okonkwo,TEN,TE,174,196.1,22.1
Demario Douglas,NE,WR,175,196.9,21.9
Marvin Mims,DEN,WR,176,187.1,11.1
Bucky Irving,TB,RB,177,177.1,0.1
Darius Slayton,NYG,WR,178,217.5,39.5
Drake Maye,NE,QB,179,195.7,16.7
Kimani Vidal,LAC,RB,180,171,-9
Jalen McMillan,TB,WR,181,208.9,27.9
Luke McCaffrey,WAS,WR,182,182,0
Cade Otton,TB,TE,183,160.3,-22.7
Demarcus Robinson,LAR,WR,184,198.3,14.3
Jalin Hyatt,NYG,WR,185,215.1,30.1
Jaleel McLaughlin,DEN,RB,186,193,7
Kendrick Bourne,NE,WR,187,222.2,35.2
Ben Sinnott,WAS,TE,188,151.6,-36.4
Rondale Moore,ATL,WR,189,223.1,34.1
Zay Jones,ARI,WR,190,188.4,-1.6
Will Levis,TEN,QB,191,171.5,-19.5
Elijah Moore,CLE,WR,192,220.2,28.2
Tyler Conklin,NYJ,TE,193,184.8,-8.2
Tucker Kraft,GB,TE,194,222.2,28.2
Jalen Tolbert,DAL,WR,195,211.3,16.3
Odell Beckham Jr.,MIA,WR,196,205.4,9.4
Javon Baker,NE,WR,197,204,7
Chuba Hubbard,CAR,RB,198,164.1,-33.9
D'Onta Foreman,CLE,RB,199,205.9,6.9
J.K. Dobbins,LAC,RB,200,152.1,-47.9
Samaje Perine,DEN,RB,201,227.2,26.2
Michael Mayer,LV,TE,202,220.2,18.2
D.J. Chark,LAC,WR,203,205.5,2.5
Josh Reynolds,DEN,WR,204,225.5,21.5
Jonnu Smith,MIA,TE,205,191.4,-13.6
Clyde Edwards-Helaire,KC,RB,206,219.3,13.3
Bryce Young,CAR,QB,207,184,-23
Dawson Knox,BUF,TE,208,224.8,16.8
Jerick McKinnon,KC,RB,209,230.1,21.1
Tyler Boyd,TEN,WR,210,212.9,2.9
Tank Bigsby,JAX,RB,211,215.8,4.8
Tyrone Tracy,NYG,RB,212,180.7,-31.3
Elijah Mitchell,SF,RB,213,201.4,-11.6
Greg Dulcich,DEN,TE,214,229.8,15.8
Bo Nix,DEN,QB,215,200.6,-14.4
Greg Dortch,ARI,WR,216,226.6,10.6
Daniel Jones,NYG,QB,217,193.9,-23.1
Hayden Hurst,LAC,TE,218,228.5,10.5
Kenneth Gainwell,PHI,RB,219,227.7,8.7
Keaton Mitchell,BAL,RB,220,193.6,-26.4
Troy Franklin,DEN,WR,221,167.7,-53.3
Colby Parkinson,LAR,TE,222,228.9,6.9
Isaac Guerendo,SF,RB,223,219.6,-3.4
Devontez Walker,BAL,WR,224,214.2,-9.8
Russell Wilson,PIT,QB,225,204.6,-20.4
A.T. Perry,NO,WR,226,228.8,2.8
Marquez Valdes-Scantling,BUF,WR,227,225.6,-1.4
Treylon Burks,TEN,WR,228,228.1,0.1
Dylan Laube,LV,RB,229,223.5,-5.5
Michael Thomas,FA,WR,230,225.8,-4.2
Alexander Mattison,LV,RB,231,217.3,-13.7
Jonathan Mingo,CAR,WR,232,229.5,-2.5
Mike Gesicki,CIN,TE,233,211.7,-21.3
Rasheen Ali,BAL,RB,234,230,-4
Evan Hull,IND,RB,235,228.3,-6.7
Trenton Irwin,CIN,WR,236,227.4,-8.6
Braelon Allen,NYJ,RB,237,228.9,-8.1
Dameon Pierce,HOU,RB,238,188.8,-49.2
Trey Palmer,TB,WR,239,227.9,-11.1
Cedrick Wilson,NO,WR,240,260,20
Tre Tucker,LV,WR,241,230.7,-10.3
Miles Sanders,CAR,RB,242,228.5,-13.5
Audric Estime,DEN,RB,243,212.8,-30.2
Davis Allen,LAR,TE,244,229.1,-14.9
Hunter Renfrow,FA,WR,245,227.9,-17.1
Tanner Hudson,CIN,TE,246,227.8,-18.2
Roschon Johnson,CHI,RB,247,195.2,-51.8
Van Jefferson,PIT,WR,248,227.8,-20.2
Justin Fields,PIT,QB,249,194.5,-54.5
Jamaal Williams,NO,RB,250,227.8,-22.2
A.J. Dillon,GB,RB,251,223.4,-27.6
Chase Edmonds,TB,RB,252,260,8
Kalif Raymond,DET,WR,253,227,-26
Will Shipley,PHI,RB,254,210.9,-43.1
Nelson Agholor,BAL,WR,255,227.6,-27.4
Donovan Peoples-Jones,DET,WR,256,225.3,-30.7
Isaiah Davis,NYJ,RB,257,260,3
Noah Brown,HOU,WR,258,226,-32
Tim Patrick,DEN,WR,259,230.2,-28.8
Alec Pierce,IND,WR,260,227.2,-32.8
Justice Hill,BAL,RB,261,227.5,-33.5
Ty Johnson,BUF,RB,262,228.8,-33.3
Ainias Smith,PHI,WR,263,227.1,-35.9
Jeremy Ruckert,NYJ,TE,264,260,-4
Brenden Rice,LAC,WR,265,222.6,-42.4
Allen Lazard,NYJ,WR,266,222.4,-43.6
K.J. Osborn,NE,WR,267,230.1,-36.9
Theo Johnson,NYG,TE,268,229.5,-38.5
Israel Abanikanda,NYJ,RB,269,229.4,-39.6
Andrei Iosivas,CIN,WR,270,230.3,-39.7
Logan Thomas,FA,TE,271,260,-11
Ja'Tavion Sanders,CAR,TE,272,202.3,-69.7
Kylen Granson,IND,TE,273,230.5,-42.5
Trent Sherfield,MIN,WR,274,260,-14
Donald Parham,LAC,TE,275,225.9,-49.1
Tyler Higbee,LAR,TE,276,226.8,-49.2
Tommy Tremble,CAR,TE,277,260,-17
Jauan Jennings,SF,WR,278,225.5,-52.5
Brandon Powell,MIN,WR,279,229.6,-49.4
Michael Gallup,LV,WR,280,226,-54
Deuce Vaughn,DAL,RB,281,228.7,-52.3
Tutu Atwell,LAR,WR,282,224.6,-57.4
D'Ernest Johnson,JAX,RB,283,228.2,-54.8
Laviska Shenault,SEA,WR,284,260,-24
Zach Ertz,WAS,TE,285,226.3,-58.7
Braxton Berrios,MIA,WR,286,260,-26
Gerald Everett,CHI,TE,287,228.7,-58.3
Gary Brightwell,NYG,RB,288,260,-28
Noah Gray,KC,TE,289,228.1,-60.9
Jamari Thrash,CLE,WR,290,229.2,-60.8
Chris Moore,ARI,WR,291,260,-31
Eric Gray,NYG,RB,292,230.5,-61.5
Jacob Cowing,SF,WR,293,225.4,-67.6
Johnny Wilson,PHI,WR,294,227.8,-66.2
Darren Waller,NYG,TE,295,204.2,-90.8
Johnny Mundt,MIN,TE,296,260,-36
Ameer Abdullah,LV,RB,297,260,-37
Jeffery Wilson,MIA,RB,298,260,-38
JuJu Smith-Schuster,NE,WR,299,227.2,-71.8
Nick Westbrook-Ikhine,TEN,WR,300,260,-40